STATION,NAME,DATE,CDSD,DSND,DSNW,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,PRCP,SNOW,TAVG,TMAX,TMIN
USR0000CTHO,THOMES CREEK CALIFORNIA,2013,2228,,,25,,,,114,2048,,,66.1,76.8,55.4
USC00049099,TWENTYNINE PALMS,2013,3611,,,21,,,0.73,117,,2.28,,70.9,84.4,57.4
USR0000CRDR,READER RANCH CALIFORNIA,2013,1392,,,20,,,,106,2813,,,61.5,74.2,48.8
USR0000CABS,ARBUCKLE BASIN CALIFORNIA,2013,1504,,,20,,,,105,3059,,,61.7,70.7,52.8
USC00047902,SANTA BARBARA,2013,,,,,,,1.00,92,1528,3.96,,,71.0,
USC00042214,CULVER CITY,2013,572,,,36,,,0.85,92,1270,3.72,,63.2,71.7,54.7
USR0000CGOR,GORDON CALIFORNIA,2013,211,,,-7,,,,96,6878,,,46.1,60.4,31.8
USR0000CREA,REDDING AIRPORT CALIFORNIA,2013,1901,,,19,,,,115,2513,,,63.3,78.0,48.5
USC00045968,MOUNT LAGUNA NUMBER 3,2013,511,,,13,,,2.02,93,4220,16.26,,53.8,63.9,43.7
US1CAMT0008,KING CITY 2.0 SSW,2013,,,0,,,0.0,0.28,,,1.47,0.0,,,
US1CAMT0006,CASTROVILLE 1.6 ENE,2013,,,,,,,0.66,,,2.77,,,,
USR0000CGOO,GOOSE VALLEY CALIFORNIA,2013,1362,,,27,,,,101,1760,,,64.1,74.7,53.5
US1CAMT0003,LOCKWOOD 3.6 NW,2013,,,,,,,0.41,,,2.12,,,,
USR0000CRCH,RANCHITA CALIFORNIA,2013,1463,,,18,,,,102,2946,,,60.4,70.1,50.7
USC00044405,JOSHUA TREE,2013,2663,0,0,18,0,0.0,0.66,115,2046,3.46,0.0,66.3,80.7,51.9
USC00047916,SANTA CRUZ,2013,262,,,25,,,0.61,97,2414,5.08,,59.2,71.9,46.5
USC00046826,PETALUMA AIRPORT,2013,270,,,20,,,0.72,97,2869,5.63,,57.4,71.1,43.8
USC00041130,BRUSH CREEK RANGER STATION,2013,,,,,,,2.10,,,11.69,,,,
USC00044881,LEE VINING,2013,342,64,6,-2,15,3.8,0.55,95,5892,5.06,18.4,48.4,62.0,34.8
US1CAIN0006,LAWS 0.1SW,2013,,,0,,,0.0,0.47,,,1.47,0.0,,,
USW00093210,OROVILLE MUNICIPAL AIRPORT,2013,1610,,,22,,,1.24,108,,7.65,,62.6,75.9,49.3
US1CAIN0002,BISHOP 8.5 WSW,2013,,,,,,,0.54,,,2.84,,,,
US1CAMT0023,BIG SUR 9.5 NNW,2013,,,,,,,1.55,,,8.97,,,,
USW00093209,PASO ROBLES MUNICIPAL AIRPORT,2013,1137,,,16,,,0.27,111,2437,1.93,,61.1,79.2,43.1
US1CAMT0022,CARMEL VALLEY VILLAGE 5.4 WNW,2013,,,,,,,0.90,,,5.53,,,,
USC00044412,JULIAN CDF,2013,956,6,4,21,6,7.0,1.07,99,3281,16.07,16.0,58.1,67.7,48.6
US1CAMT0020,CASTROVILLE 1.6 ENE,2013,,,,,,,0.65,,,3.07,,,,
USC00045502,MECCA FIRE STATION,2013,4392,,,24,,,0.50,123,851,1.57,,74.5,90.6,58.4
USC00041149,BUCKHORN,2013,,,,,,,1.78,,,27.33,,,,
USC00042239,CUYAMACA,2013,619,,,18,,,2.27,99,4030,18.77,,55.1,67.9,42.2
US1CASH0009,REDDING 2.7 NNW,2013,,,,,,,1.47,,,10.10,,,,
USC00044890,LEMON COVE,2013,1997,,,27,,,0.53,108,2072,4.08,,64.5,80.4,48.6
USC00045983,MOUNT SHASTA,2013,369,77,9,-3,23,8.0,1.71,97,5062,12.46,32.1,52.1,67.1,37.1
USW00093205,MARYSVILLE YUBA CO AIRPORT,2013,1563,,,21,,,1.41,111,2318,7.19,,62.5,77.4,47.5
USW00093206,SAN LUIS OBISPO MCCHESNEY FIELD,2013,347,0,,25,0,,0.34,103,2113,3.18,,60.3,73.5,47.1
USS0020H12S,Dismal Swamp,2013,16,206,,-10,66,,1.30,83,8718,27.85,,40.3,50.6,30.0
USC00047933,SANTA MARGARITA BOOST,2013,1021,,,17,,,0.81,112,2292,5.27,,61.2,78.7,43.7
USC00041159,BUCKS CREEK,2013,,,,,,,1.49,,,14.41,,,,
USC00043578,GRATON,2013,310,,,18,,,1.91,99,2811,12.64,,57.8,75.4,40.3
USC00046602,PACOIMA DAM FC33A E,2013,,,,,,,0.83,,,5.69,,,,
US1CASH0010,REDDING 7.9 NNE,2013,,,,,,,1.58,,,14.44,,,,
USC00043573,GRASS VALLEY NUMBER 2,2013,783,,,15,,,1.42,100,3682,16.52,,56.8,70.3,43.3
USR0000CRAV,RAVENDALE CALIFORNIA,2013,388,,,-20,,,,101,6496,,,47.1,61.9,32.2
USC00044422,JUNCAL DAM,2013,,,,,,,1.33,,,4.70,,,,
US1CASH0011,REDDING 3.7 N,2013,,,,,,,1.63,,,12.90,,,,
USW00024216,RED BLUFF MUNICIPAL AIRPORT,2013,2020,,,22,,,0.84,116,2294,5.41,,64.3,78.4,50.3
USW00023129,LONG BEACH DAUGHERTY FIELD,2013,1186,,,35,,,0.83,98,1087,4.20,,65.3,74.9,55.7
USW00024215,MOUNT SHASTA,2013,456,,,1,,,1.04,101,5153,10.02,,51.6,65.8,37.5
